Index,LBL Time (ms),LBL Moves,LBL CPU Usage,LBL Memory Used (MB),Blind Time (ms),Blind Moves,Blind CPU Usage,Blind Memory Used (MB),CFOP Time (ms),CFOP Moves,CFOP CPU Usage,CFOP Memory Used (MB)
4039,4.001379013061523,166,3.0,7016.3671875,10.997295379638672,777,1.0,7016.21875,4.998922348022461,335,5.4,7016.21875
4040,6.001472473144531,304,13.5,7016.21875,11.000871658325195,737,1.0,7016.21875,4.998207092285156,271,10.5,7015.8984375
4041,8.00013542175293,420,11.8,7016.16796875,10.998010635375977,745,3.8,7016.16796875,4.001379013061523,299,3.0,7016.12109375
4042,5.999565124511719,368,13.6,7016.12109375,11.0015869140625,749,5.6,7016.0625,4.99415397644043,245,12.9,7016.0625
4043,6.00123405456543,346,3.7,7016.0625,10.998249053955078,745,6.4,7015.71875,3.996610641479492,305,3.9,7015.4609375
4044,6.003141403198242,250,6.0,7013.97265625,11.002063751220703,741,6.2,7013.97265625,5.002260208129883,325,7.6,7016.4296875
4045,4.00090217590332,284,1.9,7016.4296875,10.999441146850586,741,2.9,7016.3125,5.000829696655273,329,1.1,7016.2734375
4046,4.997968673706055,252,3.0,7016.2734375,11.002063751220703,757,6.5,7016.265625,5.001306533813477,351,8.8,7015.94921875
4047,6.000518798828125,382,15.2,7015.0078125,11.000871658325195,749,4.1,7015.0078125,5.000829696655273,357,14.7,7016.33203125
4048,6.001710891723633,372,8.7,7016.33203125,11.001110076904297,753,7.1,7016.33203125,5.001544952392578,343,1.1,7016.2265625
4049,4.002094268798828,183,12.6,7016.2265625,10.001897811889648,745,2.8,7016.19140625,4.001855850219727,283,1.8,7016.19921875
4050,5.003929138183594,296,4.4,7016.09765625,11.001348495483398,741,3.4,7014.08984375,4.99725341796875,331,5.4,7016.234375
4051,7.002115249633789,342,3.2,7015.94921875,11.002540588378906,745,3.9,7015.5703125,3.993988037109375,219,3.6,7015.8203125
4052,5.00178337097168,298,3.2,7015.8203125,11.002063751220703,749,2.2,7015.80859375,4.999876022338867,321,2.9,7015.41015625
4053,5.002498626708984,299,6.6,7014.921875,9.99903678894043,749,6.7,7014.46484375,4.001855850219727,331,6.1,7015.8515625
4054,5.000591278076172,277,6.5,7015.8515625,11.000871658325195,741,3.5,7015.8515625,5.002260208129883,315,6.9,7015.765625
4055,4.997730255126953,318,0.9,7015.765625,10.997533798217773,741,1.1,7015.765625,4.004478454589844,293,1.1,7015.74609375
4056,6.002187728881836,384,1.0,7015.703125,11.000633239746094,749,5.3,7014.87109375,4.000663757324219,355,4.1,7015.91796875
4057,4.001140594482422,289,0.0,7015.91796875,11.001110076904297,741,1.0,7015.91796875,3.0014514923095703,277,1.0,7015.7734375
4058,5.003452301025391,279,0.0,7015.7734375,10.00070571899414,733,1.1,7015.75390625,6.000518798828125,355,1.1,7015.5078125
4059,6.99162483215332,382,0.0,7015.27734375,10.99705696105957,769,2.2,7015.23046875,4.00090217590332,293,7.6,7014.578125
4060,7.001638412475586,354,6.2,7014.578125,11.002302169799805,765,7.8,7014.5703125,6.000041961669922,335,8.7,7014.46484375
4061,6.005764007568359,331,7.5,7014.46875,11.000394821166992,749,7.0,7014.46484375,4.996776580810547,295,3.0,7014.046875
4062,5.002498626708984,216,5.4,7014.01953125,10.998725891113281,769,0.9,7016.0546875,4.995107650756836,375,7.9,7014.640625
4063,5.001306533813477,295,8.7,7014.4765625,11.001825332641602,749,5.2,7014.0390625,4.995584487915039,291,4.7,7013.90625
4064,7.002115249633789,395,2.9,7013.90625,9.997367858886719,741,9.4,7013.90625,4.999876022338867,319,3.4,7015.91796875
4065,5.001306533813477,337,2.1,7015.91796875,11.002063751220703,753,4.8,7015.8203125,5.9986114501953125,317,1.8,7015.10546875
4066,5.99980354309082,361,5.1,7013.9140625,11.002063751220703,741,4.3,7013.9140625,6.000041961669922,387,1.0,7013.796875
4067,5.000829696655273,282,6.4,7013.796875,11.002302169799805,745,1.1,7013.796875,5.000114440917969,301,3.3,7013.75
4068,6.0024261474609375,306,3.3,7013.75,11.002779006958008,745,1.9,7015.63671875,4.001855850219727,363,2.2,7015.62890625
4069,5.002498626708984,296,3.1,7014.0546875,12.001991271972656,773,4.3,7013.95703125,5.000829696655273,307,2.2,7013.8359375
4070,5.000829696655273,338,1.1,7013.8359375,11.001825332641602,749,3.1,7013.8359375,4.000186920166016,229,4.1,7015.41796875
4071,6.005287170410156,384,7.5,7015.36328125,11.002540588378906,749,5.1,7015.21875,4.998683929443359,335,1.0,7015.16015625
4072,5.9967041015625,386,4.0,7013.3359375,10.999917984008789,757,4.8,7013.3359375,4.001379013061523,335,10.4,7025.71484375
4073,5.001544952392578,293,2.1,7025.71484375,11.002063751220703,749,14.5,7028.859375,5.004644393920898,305,4.8,7028.859375
4074,5.00178337097168,237,3.9,7028.984375,10.999441146850586,757,4.3,7032.5,4.999876022338867,307,8.1,7032.5625
4075,5.002498626708984,262,2.0,7030.515625,11.000394821166992,749,3.0,7029.75390625,4.001617431640625,329,1.0,7029.58984375
4076,5.997180938720703,351,2.0,7029.4453125,12.002229690551758,761,2.9,7029.09765625,3.998994827270508,309,3.9,7031.6015625
4077,7.002592086791992,393,4.2,7031.59765625,10.997772216796875,741,2.1,7031.7109375,6.000757217407227,347,1.0,7031.5078125
4078,6.000518798828125,315,0.9,7031.75390625,11.002063751220703,757,8.2,7029.8515625,2.9976367950439453,291,2.2,7029.6875
4079,5.000114440917969,286,1.1,7029.6875,12.000560760498047,761,2.9,7029.6875,2.9981136322021484,297,2.1,7029.265625
4080,5.979776382446289,371,2.9,7029.328125,9.999990463256836,749,1.1,7031.38671875,4.995107650756836,329,3.3,7031.3671875
4081,4.99415397644043,239,5.0,7031.30859375,10.998010635375977,761,5.4,7029.625,4.001140594482422,345,1.0,7029.328125
4082,6.00123405456543,359,1.0,7029.328125,11.001825332641602,741,2.8,7031.1328125,4.996538162231445,339,4.0,7031.1328125
4083,4.998207092285156,312,7.3,7031.1328125,11.016845703125,757,4.2,7030.83203125,6.000518798828125,335,4.4,7029.70703125
4084,5.002021789550781,216,3.2,7029.69921875,11.00301742553711,749,10.0,7028.16796875,4.99415397644043,249,3.0,7021.078125
4085,5.997896194458008,334,0.0,7021.0625,10.997533798217773,753,1.1,7021.0625,5.002260208129883,277,1.0,7021.0625
4086,7.001161575317383,406,2.0,7021.0625,11.001348495483398,745,4.1,7020.12109375,4.999876022338867,333,1.1,7020.12109375
4087,6.002664566040039,319,0.0,7020.08984375,11.0015869140625,761,1.9,7019.94921875,4.00090217590332,297,4.1,7019.0859375
4088,4.998683929443359,308,1.1,7019.08203125,11.002063751220703,749,4.2,7021.31640625,4.998445510864258,289,3.0,7021.31640625
4089,6.001949310302734,382,1.1,7021.31640625,11.001825332641602,769,0.0,7020.99609375,5.001306533813477,295,1.1,7020.99609375
4090,6.000995635986328,411,0.0,7020.859375,11.001110076904297,749,2.0,7020.49609375,5.999565124511719,301,5.0,7019.1328125
4091,6.002187728881836,253,8.0,7019.26171875,11.000633239746094,757,4.1,7018.4453125,4.001140594482422,299,3.0,7018.390625
4092,4.998683929443359,269,1.0,7021.13671875,11.002302169799805,749,1.9,7020.953125,6.000518798828125,291,5.7,7020.953125
4093,5.002021789550781,283,7.8,7020.94921875,11.00015640258789,749,6.3,7019.9453125,4.997968673706055,291,7.8,7018.66796875
4094,5.00035285949707,304,3.3,7018.17578125,11.002063751220703,741,4.8,7020.609375,2.9973983764648438,305,3.0,7020.58984375
4095,4.998922348022461,404,4.2,7020.1796875,11.002302169799805,749,3.0,7020.109375,3.001689910888672,263,2.2,7020.109375
4096,5.002498626708984,392,1.0,7020.09375,11.002063751220703,761,2.0,7017.19921875,4.997491836547852,309,3.2,7012.62890625
4097,4.000425338745117,209,5.9,7017.9375,11.999845504760742,777,2.0,7017.9375,5.001306533813477,335,5.2,7017.9375
4098,6.000518798828125,386,0.0,7017.8828125,10.996580123901367,757,2.1,7017.8828125,5.9986114501953125,287,3.1,7017.8828125
4099,5.999565124511719,324,1.0,7016.55078125,11.002540588378906,741,3.0,7016.43359375,4.9991607666015625,295,3.0,7016.3515625
4100,7.000446319580078,383,6.0,7014.6953125,11.000394821166992,741,3.9,7017.3515625,6.997346878051758,359,3.1,7017.27734375
4101,4.999876022338867,349,8.5,7016.8046875,12.003660202026367,777,1.1,7016.7890625,3.998994827270508,303,1.0,7016.78515625
4102,5.001068115234375,246,1.0,7016.78515625,11.001348495483398,749,5.6,7016.67578125,5.997419357299805,329,5.7,7016.60546875
4103,6.000995635986328,413,8.8,7015.828125,11.002063751220703,757,6.5,7014.390625,3.0002593994140625,263,3.2,7014.390625
4104,6.000280380249023,350,9.4,7016.7109375,10.001659393310547,741,4.8,7016.7109375,3.9985179901123047,283,4.6,7016.69140625
4105,6.001949310302734,304,0.0,7016.66796875,11.002302169799805,737,6.4,7016.58984375,5.002021789550781,399,0.0,7016.54296875
4106,6.002187728881836,345,2.0,7016.5,9.997844696044922,749,8.0,7015.390625,4.999637603759766,329,4.0,7015.390625
4107,7.002115249633789,414,3.0,7016.11328125,10.99705696105957,765,1.0,7016.046875,5.002021789550781,275,1.1,7016.046875
